id,name,email,loan_amount,paid_amount,balance_amount,status,tenure,months_completed,default_reason
1,Reyansh Kumar 882,reyansh.kumar.882@bank.com,335500,335500,0,Paid,60,60,N/A
2,Pari Gupta,pari.gupta@bank.com,1256500,1256500,0,Paid,48,48,N/A
3,Jennifer Taylor,jennifer.taylor@bank.com,54500,54500,0,Paid,24,24,N/A
4,Diya Sharma 286,diya.sharma.286@bank.com,792300,26410.0,765890.0,Defaulted,24,1,Business Multi-sector Failure
5,David Brown 833,david.brown.833@bank.com,864500,828479.17,36020.82999999996,Ongoing,48,46,N/A
6,Shweta Aggarwal 451,shweta.aggarwal.451@bank.com,1336600,1336600,0,Paid,48,48,N/A
7,Anvi Singh,anvi.singh@bank.com,1777600,553031.11,1224568.8900000001,Defaulted,36,14,Personal/Family Crisis
8,Amit Joshi 730,amit.joshi.730@bank.com,679200,241493.33,437706.67000000004,Defaulted,36,16,Unemployment / Job Loss
9,Vihaan Patel,vihaan.patel@bank.com,267300,267300,0,Paid,12,12,N/A
10,Jessica Wilson 976,jessica.wilson.976@bank.com,424600,424600,0,Paid,60,60,N/A
11,Sonal Kapoor 363,sonal.kapoor.363@bank.com,1585200,1585200,0,Paid,48,48,N/A
12,Aadhya Reddy,aadhya.reddy@bank.com,1701500,1701500,0,Paid,48,48,N/A
13,Zara Nair 359,zara.nair.359@bank.com,916400,916400,0,Paid,24,24,N/A
14,Vivaan Gupta 578,vivaan.gupta.578@bank.com,1254800,1254800,0,Paid,12,12,N/A
15,Sonal Kapoor,sonal.kapoor@bank.com,1690900,1690900,0,Paid,36,36,N/A
16,Shanaya Kumar,shanaya.kumar@bank.com,391200,78240.0,312960.0,Defaulted,36,9,Personal/Family Crisis
17,James Smith 772,james.smith.772@bank.com,480200,480200,0,Paid,48,48,N/A
18,Vihaan Patel 855,vihaan.patel.855@bank.com,205400,68466.67,136933.33000000002,Defaulted,48,20,Business Multi-sector Failure
19,Priya Das,priya.das@bank.com,1570500,1570500,0,Paid,48,48,N/A
20,Rohan Sethi 713,rohan.sethi.713@bank.com,407900,407900,0,Paid,36,36,N/A
21,Vihaan Patel 445,vihaan.patel.445@bank.com,608500,608500,0,Paid,60,60,N/A
22,David Brown,david.brown@bank.com,642000,642000,0,Paid,36,36,N/A
23,Myra Patel,myra.patel@bank.com,1611300,1611300,0,Paid,36,36,N/A
24,Robert Williams,robert.williams@bank.com,1487600,1487600,0,Paid,36,36,N/A
25,Aarav Sharma 942,aarav.sharma.942@bank.com,1340100,1340100,0,Paid,12,12,N/A
26,Vihaan Patel 666,vihaan.patel.666@bank.com,1723300,753943.75,969356.25,Ongoing,48,21,N/A
27,Shweta Aggarwal,shweta.aggarwal@bank.com,209900,150428.33,59471.67000000001,Ongoing,60,43,N/A
28,Reyansh Kumar 627,reyansh.kumar.627@bank.com,1110800,786816.67,323983.32999999996,Ongoing,24,17,N/A
29,Rohan Sethi,rohan.sethi@bank.com,1449800,1449800,0,Paid,36,36,N/A
30,Aadhya Reddy 877,aadhya.reddy.877@bank.com,104500,104500,0,Paid,12,12,N/A
31,Deepak Malhotra,deepak.malhotra@bank.com,687300,286375.0,400925.0,Ongoing,24,10,N/A
32,Sonal Kapoor 937,sonal.kapoor.937@bank.com,600500,600500,0,Paid,60,60,N/A
33,Krishna Murthy,krishna.murthy@bank.com,377100,377100,0,Paid,24,24,N/A
34,Shweta Aggarwal,shweta.aggarwal@bank.com,1849700,1849700,0,Paid,48,48,N/A
35,Saanvi Iyer 607,saanvi.iyer.607@bank.com,1677000,1677000,0,Paid,24,24,N/A
36,Vikram Khanna,vikram.khanna@bank.com,1982300,1982300,0,Paid,48,48,N/A
37,Zara Nair,zara.nair@bank.com,1194700,1194700,0,Paid,36,36,N/A
38,Sarah Miller,sarah.miller@bank.com,1602900,133575.0,1469325.0,Ongoing,12,1,N/A
39,Sonal Kapoor,sonal.kapoor@bank.com,201600,201600,0,Paid,36,36,N/A
40,Aaryan Iyer 833,aaryan.iyer.833@bank.com,887500,147916.67,739583.33,Ongoing,24,4,N/A
41,James Smith 265,james.smith.265@bank.com,1449400,251229.33,1198170.67,Defaulted,60,13,Business Multi-sector Failure
42,David Brown,david.brown@bank.com,425100,265687.5,159412.5,Ongoing,48,30,N/A
43,Anvi Singh 524,anvi.singh.524@bank.com,772500,772500,0,Paid,24,24,N/A
44,Sonal Kapoor 696,sonal.kapoor.696@bank.com,995900,995900,0,Paid,24,24,N/A
45,James Smith 176,james.smith.176@bank.com,687000,446550.0,240450.0,Ongoing,60,39,N/A
46,Vivaan Gupta 747,vivaan.gupta.747@bank.com,694600,694600,0,Paid,12,12,N/A
47,Ishaan Nair 611,ishaan.nair.611@bank.com,1485200,33004.44,1452195.56,Defaulted,36,1,Personal/Family Crisis
48,Michael Johnson 979,michael.johnson.979@bank.com,314000,314000,0,Paid,36,36,N/A
49,Arjun Verma 491,arjun.verma.491@bank.com,1473100,1473100,0,Paid,48,48,N/A
50,Sai Reddy 235,sai.reddy.235@bank.com,976800,122100.0,854700.0,Ongoing,48,6,N/A
51,Jennifer Taylor 501,jennifer.taylor.501@bank.com,780400,780400,0,Paid,12,12,N/A
52,Pari Gupta 850,pari.gupta.850@bank.com,1329500,553958.33,775541.67,Ongoing,12,5,N/A
53,Shanaya Kumar 320,shanaya.kumar.320@bank.com,47500,41562.5,5937.5,Ongoing,24,21,N/A
54,Zara Nair,zara.nair@bank.com,1004300,1004300,0,Paid,60,60,N/A
55,Krishna Murthy 757,krishna.murthy.757@bank.com,1642000,1642000,0,Paid,48,48,N/A
56,Aditya Singh 451,aditya.singh.451@bank.com,659700,659700,0,Paid,24,24,N/A
57,David Brown 404,david.brown.404@bank.com,765500,765500,0,Paid,48,48,N/A
58,Aditya Singh 449,aditya.singh.449@bank.com,755700,755700,0,Paid,36,36,N/A
59,Deepak Malhotra 846,deepak.malhotra.846@bank.com,747900,747900,0,Paid,24,24,N/A
60,Pari Gupta 632,pari.gupta.632@bank.com,1976600,625923.33,1350676.67,Defaulted,48,19,Interest Rate Overrun
61,Reyansh Kumar 457,reyansh.kumar.457@bank.com,649500,649500,0,Paid,24,24,N/A
62,Karan Oberoi,karan.oberoi@bank.com,78500,78500,0,Paid,36,36,N/A
63,Arjun Verma 359,arjun.verma.359@bank.com,708400,708400,0,Paid,60,60,N/A
64,David Brown 462,david.brown.462@bank.com,1745600,1745600,0,Paid,24,24,N/A
65,Reyansh Kumar 515,reyansh.kumar.515@bank.com,806800,806800,0,Paid,24,24,N/A
66,Sai Reddy,sai.reddy@bank.com,1105700,1105700,0,Paid,36,36,N/A
67,Richard Taylor,richard.taylor@bank.com,714500,714500,0,Paid,12,12,N/A
68,Vikram Khanna 356,vikram.khanna.356@bank.com,1514300,1514300,0,Paid,36,36,N/A
69,Sai Reddy,sai.reddy@bank.com,250100,33346.67,216753.33000000002,Defaulted,24,4,Unemployment / Job Loss
70,Robert Williams 505,robert.williams.505@bank.com,394700,394700,0,Paid,12,12,N/A
71,Diya Sharma 822,diya.sharma.822@bank.com,1726300,1726300,0,Paid,12,12,N/A
72,Aadhya Reddy,aadhya.reddy@bank.com,1980800,1980800,0,Paid,48,48,N/A
73,Deepak Malhotra,deepak.malhotra@bank.com,1459700,1459700,0,Paid,60,60,N/A
74,Sai Reddy 359,sai.reddy.359@bank.com,673600,673600,0,Paid,36,36,N/A
75,Jennifer Taylor 517,jennifer.taylor.517@bank.com,1233300,1233300,0,Paid,60,60,N/A
76,Rohan Sethi,rohan.sethi@bank.com,55600,55600,0,Paid,36,36,N/A
77,Rahul Mehra 918,rahul.mehra.918@bank.com,1787200,1787200,0,Paid,24,24,N/A
78,Ananya Iyer,ananya.iyer@bank.com,1734400,231253.33,1503146.67,Defaulted,24,4,Interest Rate Overrun
79,Vihaan Patel 243,vihaan.patel.243@bank.com,1492800,1492800,0,Paid,12,12,N/A
80,Inaya Murthy 381,inaya.murthy.381@bank.com,997800,997800,0,Paid,12,12,N/A
