name,age,credit_score,income,loan_amount,employment_type,existing_emi,tenure,loan_type,default_status
Michael Verma,38,550,804542,1022903,Salaried,23926,6,Education Loan,1
Karan Mehra,22,503,549652,1999026,Contract,8230,18,Personal Loan,1
Inaya Reddy,34,644,880824,608305,Government,0,60,Auto Loan,0
Jennifer Patel,45,380,1489301,4244202,Contract,17952,12,Personal Loan,0
James Khanna 30,27,689,518921,796166,Business,0,18,Home Loan,0
Jessica Smith,61,475,518926,1434244,Self-employed,0,24,Auto Loan,1
Priya Mehra,70,357,1540361,2001592,Salaried,20597,6,Home Loan,1
David Reddy,52,705,946438,4208316,Government,0,12,Home Loan,1
Jennifer Iyer,58,708,450591,873057,Self-employed,1365,6,Personal Loan,1
Jessica Murthy,45,690,826980,2530777,Government,26768,60,Personal Loan,1
Linda Das 99,62,648,452231,332593,Government,0,6,Auto Loan,1
Pari Martinez,61,605,451604,1914806,Contract,2300,60,Home Loan,1
Pari Martinez,41,800,690504,202654,Business,19142,18,Home Loan,0
Amit Joshi 9,69,845,189478,734417,Self-employed,5980,12,Auto Loan,1
Karan Martinez,67,505,212150,768440,Government,4595,24,Education Loan,1
Amit Reddy,56,535,426184,1288998,Salaried,0,48,Personal Loan,0
Patricia Reddy,36,585,325234,1109403,Self-employed,7841,36,Education Loan,1
Robert Murthy,27,741,721111,1370563,Government,17524,48,Personal Loan,0
Robert Davis,33,494,346343,960814,Self-employed,3215,12,Personal Loan,1
Priya Verma,55,315,255919,1241509,Self-employed,0,24,Business Loan,1
Aditya Nair,45,571,1438899,6686976,Government,0,48,Education Loan,1
Karan Khanna,24,362,521536,1976768,Salaried,0,24,Education Loan,1
Aditya Gupta,32,370,621889,1900597,Self-employed,19518,36,Home Loan,1
Amit Murthy,57,835,254015,436543,Business,0,48,Auto Loan,0
Jessica Smith,41,374,430787,105419,Contract,14303,6,Education Loan,1
Barbara Singh 32,44,591,638293,610964,Contract,13014,60,Education Loan,1
Barbara Johnson,29,570,299360,225734,Salaried,1551,18,Education Loan,0
Jessica Smith 65,52,557,748194,3401001,Salaried,0,24,Auto Loan,1
James Malhotra,37,465,416489,1565127,Contract,7787,6,Personal Loan,1
Deepak Das,44,451,501311,1134454,Salaried,0,60,Personal Loan,1
Rahul Johnson,70,716,416222,2028839,Self-employed,3284,12,Home Loan,1
Jennifer Martinez,47,554,1814584,2686795,Salaried,0,6,Business Loan,1
Myra Singh,35,528,592378,185763,Self-employed,0,18,Personal Loan,0
Michael Gupta,55,639,316593,1490626,Salaried,2756,36,Auto Loan,1
Anvi Brown 56,59,823,978256,738680,Contract,0,6,Business Loan,0
Anvi Murthy,63,638,287073,916091,Salaried,2873,18,Business Loan,1
Priya Malhotra,63,688,676926,2336157,Self-employed,6790,36,Personal Loan,1
Robert Iyer,41,776,184277,427628,Self-employed,4875,60,Home Loan,1
Jessica Smith,26,540,269167,923086,Self-employed,1322,6,Home Loan,1
James Joshi,61,499,672069,2451748,Government,5465,48,Personal Loan,1
Linda Verma 29,32,830,930130,2260066,Contract,0,60,Personal Loan,0
Jessica Gupta 77,41,753,661867,2078746,Contract,20007,24,Home Loan,1
Rohan Jones,61,583,557161,2159503,Contract,4443,24,Personal Loan,1
Aadhya Reddy 11,29,454,498489,653048,Self-employed,1067,24,Auto Loan,1
Karan Miller,70,320,245950,1060613,Contract,0,6,Auto Loan,1
Linda Miller,68,525,387741,986219,Business,375,18,Business Loan,1
Barbara Malhotra 69,22,703,452986,1377569,Salaried,0,24,Home Loan,1
Rohan Sharma,50,634,1126102,2049508,Government,0,60,Business Loan,0
Aarav Brown,43,529,733931,2437158,Salaried,23231,12,Personal Loan,1
Nisha Johnson,34,776,207352,737640,Business,0,36,Personal Loan,1
Vikram Verma,40,684,725379,1526154,Self-employed,0,48,Home Loan,0
Patricia Johnson,28,342,473994,884746,Government,1089,48,Auto Loan,1
Mary Bhatia,44,770,397856,1430324,Government,0,36,Auto Loan,0
James Bhatia,67,574,861995,1505958,Self-employed,2490,24,Home Loan,1
Jessica Sharma,52,632,1108590,1189330,Self-employed,0,18,Auto Loan,0
Linda Sethi,54,495,1044206,637949,Government,26389,48,Business Loan,0
Robert Sharma,35,714,360940,1270717,Business,4439,36,Education Loan,0
Priya Reddy,50,577,496070,829325,Self-employed,0,12,Auto Loan,1
James Williams,34,795,728511,1112580,Contract,12740,18,Personal Loan,1
Anvi Nair,66,846,1072311,865996,Salaried,19779,48,Home Loan,0
Arjun Davis,39,780,447976,1118967,Business,0,6,Auto Loan,1
Mary Joshi,25,354,534242,495931,Contract,1516,12,Personal Loan,1
Zara Garcia,70,835,307490,622917,Government,0,36,Business Loan,0
Zara Brown,69,512,291348,933033,Business,1525,12,Education Loan,1
Myra Williams,39,333,972393,1274890,Business,14716,48,Home Loan,1
Michael Iyer,33,735,1347476,1011855,Self-employed,40802,60,Home Loan,0
Vikram Nair 73,39,749,571942,455779,Business,17971,36,Education Loan,1
Aditya Rodriguez,41,556,1090470,353477,Self-employed,30386,36,Education Loan,0
Jessica Miller,23,479,741908,1823909,Government,4488,36,Business Loan,1
Amit Bhatia,42,628,405521,1385519,Self-employed,0,48,Business Loan,0
Mary Jones,50,390,741801,1268244,Business,0,60,Business Loan,0
Aarav Johnson 60,47,355,1502771,1653643,Business,24970,24,Personal Loan,1
Barbara Khanna,65,796,584495,457569,Contract,13828,18,Education Loan,1
Amit Mehra 15,50,420,1526955,5052704,Self-employed,36474,36,Auto Loan,1
Nisha Mehra,30,692,150000,167239,Contract,4396,60,Personal Loan,0
Inaya Reddy 65,38,302,977879,1523170,Business,18903,48,Business Loan,1
Nisha Singh,69,686,629214,1501086,Business,20570,12,Education Loan,1
Inaya Singh,51,690,499116,1024773,Self-employed,615,36,Education Loan,1
Patricia Patel,50,315,630997,2314326,Government,20401,6,Business Loan,1
Zara Williams,26,636,181218,777649,Contract,0,18,Business Loan,1
Amit Mehra,39,532,523450,1980985,Government,13267,48,Personal Loan,1
Linda Sharma,24,600,739897,1421063,Government,0,36,Business Loan,0
Ishaan Nair,45,546,1449510,3752495,Contract,0,24,Auto Loan,1
Linda Garcia,39,461,437590,242659,Business,4363,24,Auto Loan,1
Diya Davis,36,690,367656,1082831,Contract,0,48,Auto Loan,1
Rohan Sharma,64,350,441947,2020122,Government,13301,60,Home Loan,1
Michael Oberoi,64,440,1034306,3325904,Salaried,0,24,Personal Loan,1
Amit Martinez,68,725,727413,758744,Self-employed,21251,18,Education Loan,1
Ishaan Sethi 62,39,646,434583,1764544,Government,2039,12,Business Loan,1
Anvi Joshi 2,37,849,812572,644553,Business,18210,36,Business Loan,0
Arjun Johnson,22,635,633013,2907573,Self-employed,13407,24,Auto Loan,1
Aditya Singh,52,418,1067881,711765,Contract,0,24,Auto Loan,0
Priya Murthy,67,458,391902,1743958,Salaried,8042,18,Personal Loan,1
Myra Mehra 13,64,676,490608,1380294,Business,0,18,Home Loan,0
Mary Patel,34,321,472000,208990,Business,0,12,Education Loan,0
